Member_number,Recency,Frequency,Monetary,R,F,M,RFM_Segment,RFM_Score,RFM_Level
2193,91,27,361.45,3,4,4,344,11,LOYAL
1793,26,25,345.1,4,4,4,444,12,CHAMP
3289,4,29,334.17,4,4,4,444,12,CHAMP
2433,3,30,316.81,4,4,4,444,12,CHAMP
2743,142,17,312.47,2,4,4,244,10,RISK
2811,310,20,305.73,1,4,4,144,9,CANT_LOSE
2990,140,24,303.61,2,4,4,244,10,RISK
3872,37,30,301.33,4,4,4,444,12,CHAMP
4753,52,23,301.1,4,4,4,444,12,CHAMP
2993,239,15,296.96,2,4,4,244,10,RISK
4509,31,20,290.75,4,4,4,444,12,CHAMP
4102,57,19,289.4,3,4,4,344,11,LOYAL
4437,31,23,285.6,4,4,4,444,12,CHAMP
1715,179,17,284.89,2,4,4,244,10,RISK
1169,380,21,284.8,1,4,4,144,9,CANT_LOSE
1265,88,25,280.0,3,4,4,344,11,LOYAL
2051,46,32,279.4,4,4,4,444,12,CHAMP
4494,58,21,277.91,3,4,4,344,11,LOYAL
2851,105,29,277.4,3,4,4,344,11,LOYAL
4679,50,22,277.18,4,4,4,444,12,CHAMP
2210,96,18,271.95,3,4,4,344,11,LOYAL
3245,22,18,271.8,4,4,4,444,12,CHAMP
3593,57,23,268.81,3,4,4,344,11,LOYAL
1098,48,24,267.63,4,4,4,444,12,CHAMP
1052,64,26,267.5,3,4,4,344,11,LOYAL
4293,91,22,265.7,3,4,4,344,11,LOYAL
2001,112,19,264.32,3,4,4,344,11,LOYAL
2736,4,21,262.21,4,4,4,444,12,CHAMP
4624,33,22,260.95,4,4,4,444,12,CHAMP
2706,88,23,260.9,3,4,4,344,11,LOYAL
2022,161,23,260.7,2,4,4,244,10,RISK
4628,20,19,260.6,4,4,4,444,12,CHAMP
1870,112,25,257.54,3,4,4,344,11,LOYAL
2517,18,27,256.26,4,4,4,444,12,CHAMP
3014,49,17,256.01,4,4,4,444,12,CHAMP
2632,98,24,254.8,3,4,4,344,11,LOYAL
4302,55,20,254.72,4,4,4,444,12,CHAMP
4137,4,26,254.04,4,4,4,444,12,CHAMP
