Member_number,Date,productId,items,productName,price,gross_sales
1808,2015-07-21,1,3,tropical fruit,7.803532318,23.410596954
4119,2015-02-12,1,3,tropical fruit,7.803532318,23.410596954
3962,2015-09-18,1,2,tropical fruit,7.803532318,15.607064636
1088,2015-11-30,1,2,tropical fruit,7.803532318,15.607064636
1863,2015-08-04,1,1,tropical fruit,7.803532318,7.803532318
4829,2015-11-03,1,2,tropical fruit,7.803532318,15.607064636
4581,2015-04-03,1,1,tropical fruit,7.803532318,7.803532318
3635,2015-09-04,1,1,tropical fruit,7.803532318,7.803532318
1279,2015-09-06,1,3,tropical fruit,7.803532318,23.410596954
3361,2015-03-05,1,1,tropical fruit,7.803532318,7.803532318
3567,2015-10-04,1,3,tropical fruit,7.803532318,23.410596954
4509,2015-11-29,1,3,tropical fruit,7.803532318,23.410596954
2818,2015-11-07,1,3,tropical fruit,7.803532318,23.410596954
1033,2015-04-22,1,2,tropical fruit,7.803532318,15.607064636
4222,2015-05-27,1,1,tropical fruit,7.803532318,7.803532318
1952,2015-03-23,1,1,tropical fruit,7.803532318,7.803532318
1649,2015-06-25,1,2,tropical fruit,7.803532318,15.607064636
4459,2015-04-26,1,3,tropical fruit,7.803532318,23.410596954
3855,2015-03-09,1,1,tropical fruit,7.803532318,7.803532318
4554,2015-07-16,1,1,tropical fruit,7.803532318,7.803532318
2702,2015-04-08,1,2,tropical fruit,7.803532318,15.607064636
4002,2015-09-03,1,1,tropical fruit,7.803532318,7.803532318
3543,2015-03-18,1,3,tropical fruit,7.803532318,23.410596954
3398,2015-03-11,1,3,tropical fruit,7.803532318,23.410596954
3960,2015-03-25,1,1,tropical fruit,7.803532318,7.803532318
4723,2015-05-22,1,2,tropical fruit,7.803532318,15.607064636
1483,2015-04-01,1,3,tropical fruit,7.803532318,23.410596954
2694,2015-11-21,1,3,tropical fruit,7.803532318,23.410596954
3806,2015-08-28,1,3,tropical fruit,7.803532318,23.410596954
1962,2015-06-08,1,1,tropical fruit,7.803532318,7.803532318
3900,2015-12-20,1,3,tropical fruit,7.803532318,23.410596954
4704,2015-08-21,1,2,tropical fruit,7.803532318,15.607064636
1737,2015-05-15,1,3,tropical fruit,7.803532318,23.410596954
4191,2015-11-03,1,2,tropical fruit,7.803532318,15.607064636
1722,2015-07-13,1,1,tropical fruit,7.803532318,7.803532318
1438,2015-10-19,1,3,tropical fruit,7.803532318,23.410596954
2751,2015-02-03,1,3,tropical fruit,7.803532318,23.410596954
3188,2015-12-06,1,1,tropical fruit,7.803532318,7.803532318
2785,2015-10-18,1,2,tropical fruit,7.803532318,15.607064636
2648,2015-07-10,1,1,tropical fruit,7.803532318,7.803532318
4975,2015-05-08,1,3,tropical fruit,7.803532318,23.410596954
1245,2015-10-08,1,2,tropical fruit,7.803532318,15.607064636
3829,2015-06-25,1,3,tropical fruit,7.803532318,23.410596954
2049,2015-10-07,1,1,tropical fruit,7.803532318,7.803532318
2355,2015-07-24,1,2,tropical fruit,7.803532318,15.607064636
2844,2015-05-21,1,1,tropical fruit,7.803532318,7.803532318
2280,2015-01-11,1,1,tropical fruit,7.803532318,7.803532318
1930,2015-03-01,1,3,tropical fruit,7.803532318,23.410596954
1518,2015-06-21,1,3,tropical fruit,7.803532318,23.410596954
3204,2015-02-20,1,1,tropical fruit,7.803532318,7.803532318
2009,2015-10-11,1,1,tropical fruit,7.803532318,7.803532318
3574,2015-06-13,1,2,tropical fruit,7.803532318,15.607064636
4321,2015-01-29,1,3,tropical fruit,7.803532318,23.410596954
4056,2015-10-20,1,3,tropical fruit,7.803532318,23.410596954
1850,2015-01-11,1,3,tropical fruit,7.803532318,23.410596954
4719,2015-06-01,1,2,tropical fruit,7.803532318,15.607064636
2643,2015-04-21,1,3,tropical fruit,7.803532318,23.410596954
3289,2015-03-01,1,3,tropical fruit,7.803532318,23.410596954
2346,2015-04-24,1,1,tropical fruit,7.803532318,7.803532318
4536,2015-04-06,1,1,tropical fruit,7.803532318,7.803532318
3451,2015-04-26,1,1,tropical fruit,7.803532318,7.803532318
4201,2015-10-14,1,3,tropical fruit,7.803532318,23.410596954
3716,2015-11-10,1,3,tropical fruit,7.803532318,23.410596954
3898,2015-08-21,1,3,tropical fruit,7.803532318,23.410596954
1651,2015-05-06,1,3,tropical fruit,7.803532318,23.410596954
3489,2015-03-09,1,1,tropical fruit,7.803532318,7.803532318
1212,2015-06-19,1,2,tropical fruit,7.803532318,15.607064636
2080,2015-04-21,1,1,tropical fruit,7.803532318,7.803532318
